version	locus	quality	PC	mode	minus_log10_pvalue_corr	beta	precision	recall	precision_SC	recall_SC	PC_abundance	locus_abundance	PC_freq	TP	FN	TN	FP	specificity	accuracy	F1_score	MCC	TP_SC	FN_SC	TN_SC	FP_SC	specificity_SC	accuracy_SC	F1_score_SC	MCC_SC	pvalue	n_PC_tested	pvalue_corr	minus_log10_pvalue	precision_CI5_LOWER	precision_MEDIAN	precision_CI95_UPPER	recall_CI5_LOWER	recall_MEDIAN	recall_CI95_UPPER	precision_SC_CI5_LOWER	precision_SC_MEDIAN	precision_SC_CI95_UPPER	recall_SC_CI5_LOWER	recall_SC_MEDIAN	recall_SC_CI95_UPPER	F1_score_num
PCI50C50	KL13	lq	PC0144	lasso	inf	4.22	0.13	0.91	0.46	0.94	161	23	0.064	21.0	2.0	2354.0	140.0	0.94	0.94	0.23	0.33	17.0	1.0	511.0	20.0	0.96	0.96	0.62	0.64	0.0	1688	0.0	inf	0.08	0.12	0.15	0.849	0.89	1.0	0.308	0.385	0.46	0.829	0.92	1.0	0.23
PCI50C80	KL13	lq	PC0146	lasso	inf	9.38	0.13	0.91	0.47	0.94	158	23	0.0628	21.0	2.0	2357.0	137.0	0.95	0.94	0.23	0.34	17.0	1.0	512.0	19.0	0.96	0.96	0.63	0.65	0.0	1834	0.0	inf	0.1	0.13	0.18	0.869	0.925	1.0	0.358	0.435	0.521	0.889	1.0	1.0	0.23
PCI80C50	KL13	lq	PC0141	lasso	inf	9.34	0.13	0.91	0.46	0.94	160	23	0.0636	21.0	2.0	2355.0	139.0	0.94	0.94	0.23	0.33	17.0	1.0	511.0	20.0	0.96	0.96	0.62	0.64	0.0	2166	0.0	inf	0.1	0.135	0.171	0.849	0.885	1.0	0.379	0.425	0.522	0.849	0.92	1.0	0.23
PCI80C80	KL13	lq	PC0149	lasso	inf	4.3	0.13	0.91	0.47	0.94	158	23	0.0628	21.0	2.0	2357.0	137.0	0.95	0.94	0.23	0.34	17.0	1.0	512.0	19.0	0.96	0.96	0.63	0.65	0.0	2240	0.0	inf	0.12	0.13	0.151	0.859	0.92	1.0	0.378	0.43	0.501	0.9	0.92	1.0	0.23
PCI00C50	KL14	lq	PC0306	lasso	inf	5.51	0.71	0.82	0.6	0.82	38	33	0.0151	27.0	6.0	2473.0	11.0	1.0	0.99	0.76	0.76	9.0	2.0	532.0	6.0	0.99	0.99	0.69	0.69	0.0	1207	0.0	inf	0.647	0.71	0.781	0.718	0.82	0.912	0.5	0.64	0.784	0.78	0.86	1.0	0.76
PCI00C80	KL14	lq	PC0315	lasso	inf	5.16	0.7	0.79	0.57	0.73	37	33	0.0147	26.0	7.0	2473.0	11.0	1.0	0.99	0.74	0.74	8.0	3.0	532.0	6.0	0.99	0.98	0.64	0.64	0.0	1481	0.0	inf	0.64	0.7	0.762	0.737	0.815	0.862	0.5	0.63	0.732	0.778	0.83	0.896	0.74
PCI50C50	KL14	lq	PC0367	lasso	inf	3.95	0.82	0.82	0.57	0.73	33	33	0.0131	27.0	6.0	2478.0	6.0	1.0	1.0	0.82	0.82	8.0	3.0	532.0	6.0	0.99	0.98	0.64	0.64	0.0	1688	0.0	inf	0.71	0.83	0.9	0.738	0.82	0.872	0.56	0.63	0.78	0.668	0.78	0.896	0.82
PCI50C80	KL14	lq	PC0375	lasso	inf	9.32	0.71	0.82	0.6	0.82	38	33	0.0151	27.0	6.0	2473.0	11.0	1.0	0.99	0.76	0.76	9.0	2.0	532.0	6.0	0.99	0.99	0.69	0.69	0.0	1834	0.0	inf	0.66	0.685	0.75	0.748	0.83	0.89	0.548	0.61	0.702	0.75	0.88	1.0	0.76
PCI80C50	KL14	lq	PC0379	lasso	inf	3.4	0.69	0.82	0.53	0.73	39	33	0.0155	27.0	6.0	2472.0	12.0	1.0	0.99	0.75	0.75	8.0	3.0	531.0	7.0	0.99	0.98	0.61	0.61	0.0	2166	0.0	inf	0.649	0.72	0.813	0.77	0.83	0.883	0.438	0.63	0.702	0.67	0.79	0.886	0.75
PCI80C80	KL14	lq	PC0440	lasso	inf	8.77	0.83	0.76	0.62	0.73	30	33	0.0119	25.0	8.0	2479.0	5.0	1.0	0.99	0.79	0.79	8.0	3.0	533.0	5.0	0.99	0.99	0.67	0.66	0.0	2240	0.0	inf	0.76	0.84	0.902	0.677	0.745	0.803	0.566	0.67	0.804	0.62	0.75	0.861	0.79
