version	locus	quality	PC	mode	minus_log10_pvalue_corr	beta	precision	recall	precision_SC	recall_SC	PC_abundance	locus_abundance	PC_freq	TP	FN	TN	FP	specificity	accuracy	F1_score	MCC	TP_SC	FN_SC	TN_SC	FP_SC	specificity_SC	accuracy_SC	F1_score_SC	MCC_SC	pvalue	n_PC_tested	pvalue_corr	minus_log10_pvalue	precision_CI5_LOWER	precision_MEDIAN	precision_CI95_UPPER	recall_CI5_LOWER	recall_MEDIAN	recall_CI95_UPPER	precision_SC_CI5_LOWER	precision_SC_MEDIAN	precision_SC_CI95_UPPER	recall_SC_CI5_LOWER	recall_SC_MEDIAN	recall_SC_CI95_UPPER	F1_score_num
PCI00C50	KL1	hq	PC0549	lasso			0.88	0.27	0.5	0.07	8	26	0.00323	7.0	19.0	2451.0	1.0	1.0	0.99	0.41	0.48	1.0	14.0	533.0	1.0	1.0	0.97	0.12	0.18		824			0.662	0.815	1.0	0.194	0.25	0.332	0.5	0.5	1.0	0.08	0.1	0.14	0.41
PCI00C80	KL1	hq	PC0662	lasso			0.88	0.27	0.5	0.07	8	26	0.00323	7.0	19.0	2451.0	1.0	1.0	0.99	0.41	0.48	1.0	14.0	533.0	1.0	1.0	0.97	0.12	0.18		998			0.8	0.93	1.0	0.128	0.285	0.392	0.5	0.75	1.0	0.08	0.1	0.12	0.41
PCI50C50	KL1	hq	PC0411	lasso	inf	3.97	0.46	0.42	0.47	0.6	24	26	0.00969	11.0	15.0	2439.0	13.0	0.99	0.99	0.44	0.43	9.0	6.0	524.0	10.0	0.98	0.97	0.53	0.52	0.0	1191	0.0	inf	0.31	0.5	0.542	0.29	0.425	0.5	0.306	0.5	0.586	0.394	0.59	0.704	0.44
PCI50C80	KL1	hq	PC0762	lasso			0.88	0.27	0.5	0.07	8	26	0.00323	7.0	19.0	2451.0	1.0	1.0	0.99	0.41	0.48	1.0	14.0	533.0	1.0	1.0	0.97	0.12	0.18		1289			0.746	0.86	1.0	0.18	0.25	0.35	0.5	0.5	1.0	0.08	0.085	0.112	0.41
PCI80C50	KL1	hq	PC0968	lasso			0.88	0.27	0.5	0.07	8	26	0.00323	7.0	19.0	2451.0	1.0	1.0	0.99	0.41	0.48	1.0	14.0	533.0	1.0	1.0	0.97	0.12	0.18		1543			0.746	0.86	1.0	0.168	0.25	0.352	0.5	0.5	1.0	0.08	0.09	0.121	0.41
PCI80C80	KL1	hq	PC0939	lasso			0.88	0.27	0.5	0.07	8	26	0.00323	7.0	19.0	2451.0	1.0	1.0	0.99	0.41	0.48	1.0	14.0	533.0	1.0	1.0	0.97	0.12	0.18		1587			0.746	0.83	1.0	0.196	0.265	0.383	0.5	0.5	1.0	0.08	0.09	0.121	0.41
PCI00C50	KL10	hq	PC0461	lasso			0.42	0.17	0.44	0.27	12	30	0.00484	5.0	25.0	2441.0	7.0	1.0	0.99	0.24	0.26	4.0	11.0	529.0	5.0	0.99	0.97	0.33	0.33		824			0.197	0.43	0.572	0.06	0.18	0.25	0.198	0.5	0.604	0.108	0.27	0.33	0.24
PCI00C80	KL10	hq	PC0540	lasso			0.45	0.17	0.5	0.27	11	30	0.00444	5.0	25.0	2442.0	6.0	1.0	0.99	0.25	0.27	4.0	11.0	530.0	4.0	0.99	0.97	0.35	0.35		998			0.198	0.415	0.575	0.06	0.14	0.22	0.2	0.43	0.67	0.09	0.23	0.311	0.25
PCI50C50	KL10	hq	PC0894	lasso			0.83	0.17	1.0	0.2	6	30	0.00242	5.0	25.0	2447.0	1.0	1.0	0.99	0.28	0.37	3.0	12.0	534.0	0.0	1.0	0.98	0.33	0.44		1191			0.67	0.8	1.0	0.12	0.18	0.222	1.0	1.0	1.0	0.15	0.25	0.302	0.28
PCI50C80	KL10	hq	PC0935	lasso			0.83	0.17	1.0	0.2	6	30	0.00242	5.0	25.0	2447.0	1.0	1.0	0.99	0.28	0.37	3.0	12.0	534.0	0.0	1.0	0.98	0.33	0.44		1289			0.662	0.8	1.0	0.089	0.18	0.232	0.662	1.0	1.0	0.128	0.2	0.332	0.28
PCI80C50	KL10	hq	PC1137	lasso	inf	1.82	0.83	0.17	1.0	0.2	6	30	0.00242	5.0	25.0	2447.0	1.0	1.0	0.99	0.28	0.37	3.0	12.0	534.0	0.0	1.0	0.98	0.33	0.44	0.0	1543	0.0	inf	0.67	0.8	1.0	0.11	0.17	0.221	0.984	1.0	1.0	0.14	0.18	0.302	0.28
PCI80C80	KL10	hq	PC1196	lasso			0.83	0.17	1.0	0.2	6	30	0.00242	5.0	25.0	2447.0	1.0	1.0	0.99	0.28	0.37	3.0	12.0	534.0	0.0	1.0	0.98	0.33	0.44		1587			0.67	0.8	1.0	0.098	0.18	0.24	0.67	1.0	1.0	0.09	0.22	0.3	0.28
PCI00C50	KL103	hq	PC0233	lasso	inf	1.56	0.15	0.64	0.23	0.7	46	11	0.0186	7.0	4.0	2428.0	39.0	0.98	0.98	0.24	0.31	7.0	3.0	516.0	23.0	0.96	0.95	0.35	0.39	0.0	824	0.0	inf	0.08	0.16	0.212	0.4	0.62	0.784	0.11	0.22	0.292	0.496	0.67	0.861	0.24
PCI00C80	KL103	hq	PC0693	lasso			0.83	0.45	0.83	0.5	6	11	0.00242	5.0	6.0	2466.0	1.0	1.0	1.0	0.58	0.61	5.0	5.0	538.0	1.0	1.0	0.99	0.62	0.64		998			0.67	0.8	1.0	0.29	0.5	0.67	0.67	0.8	1.0	0.29	0.5	0.677	0.58
PCI50C50	KL103	hq	PC0545	lasso	inf	17.0	0.64	0.64	0.64	0.7	11	11	0.00444	7.0	4.0	2463.0	4.0	1.0	1.0	0.64	0.63	7.0	3.0	535.0	4.0	0.99	0.99	0.67	0.66	0.0	1191	0.0	inf	0.428	0.585	0.838	0.496	0.67	0.802	0.428	0.585	0.838	0.496	0.67	0.83	0.64
PCI50C80	KL103	hq	PC0929	lasso	inf	5.41	1.0	0.45	1.0	0.5	5	11	0.00202	5.0	6.0	2467.0	0.0	1.0	1.0	0.62	0.67	5.0	5.0	539.0	0.0	1.0	0.99	0.67	0.7	0.0	1289	0.0	inf	1.0	1.0	1.0	0.17	0.5	0.629	1.0	1.0	1.0	0.17	0.5	0.677	0.62
PCI80C50	KL103	hq	PC0887	lasso	inf	11.5	0.5	0.36	0.5	0.4	8	11	0.00323	4.0	7.0	2463.0	4.0	1.0	1.0	0.42	0.42	4.0	6.0	535.0	4.0	0.99	0.98	0.44	0.44	0.0	1543	0.0	inf	0.326	0.5	0.763	0.139	0.38	0.5	0.326	0.5	0.763	0.14	0.38	0.5	0.42
PCI80C80	KL103	hq	PC0865	lasso	inf	12.4	0.5	0.36	0.5	0.4	8	11	0.00323	4.0	7.0	2463.0	4.0	1.0	1.0	0.42	0.42	4.0	6.0	535.0	4.0	0.99	0.98	0.44	0.44	0.0	1587	0.0	inf	0.238	0.57	0.753	0.162	0.38	0.509	0.238	0.57	0.753	0.19	0.38	0.509	0.42
PCI00C50	KL11	hq	PC0428	lasso			0.64	0.3	0.5	0.09	14	30	0.00565	9.0	21.0	2443.0	5.0	1.0	0.99	0.41	0.43	1.0	10.0	537.0	1.0	1.0	0.98	0.15	0.21		824			0.497	0.62	0.886	0.207	0.285	0.381	0.5	0.5	1.0	0.1	0.12	0.142	0.41
PCI00C80	KL11	hq	PC0177	lasso	inf	2.96	0.35	0.8	0.27	0.73	69	30	0.0278	24.0	6.0	2403.0	45.0	0.98	0.98	0.49	0.52	8.0	3.0	516.0	22.0	0.96	0.95	0.39	0.42	0.0	998	0.0	inf	0.28	0.36	0.401	0.73	0.8	0.852	0.2	0.265	0.32	0.617	0.71	0.867	0.49
PCI50C50	KL11	hq	PC0428	lasso	inf	3.41	0.8	0.53	0.62	0.45	20	30	0.00807	16.0	14.0	2444.0	4.0	1.0	0.99	0.64	0.65	5.0	6.0	535.0	3.0	0.99	0.98	0.52	0.53	0.0	1191	0.0	inf	0.73	0.8	1.0	0.475	0.575	0.652	0.5	0.69	1.0	0.428	0.56	0.62	0.64
PCI50C80	KL11	hq	PC0495	lasso	inf	2.84	0.78	0.47	0.62	0.45	18	30	0.00726	14.0	16.0	2444.0	4.0	1.0	0.99	0.59	0.6	5.0	6.0	535.0	3.0	0.99	0.98	0.52	0.53	0.0	1289	0.0	inf	0.669	0.75	0.92	0.378	0.46	0.551	0.496	0.6	0.802	0.289	0.445	0.61	0.59
PCI80C50	KL11	hq	PC0611	lasso			0.82	0.47	0.33	0.09	17	30	0.00686	14.0	16.0	2445.0	3.0	1.0	0.99	0.6	0.62	1.0	10.0	536.0	2.0	1.0	0.98	0.14	0.17		1543			0.729	0.83	1.0	0.376	0.48	0.59	0.33	0.415	1.0	0.1	0.12	0.17	0.6
PCI80C80	KL11	hq	PC0617	lasso			0.82	0.47	0.33	0.09	17	30	0.00686	14.0	16.0	2445.0	3.0	1.0	0.99	0.6	0.62	1.0	10.0	536.0	2.0	1.0	0.98	0.14	0.17		1587			0.746	0.81	0.901	0.318	0.46	0.541	0.33	0.33	0.5	0.1	0.12	0.143	0.6
PCI00C50	KL111	hq	PC0429	lasso	inf	4.7	1.0	0.42	1.0	0.5	14	33	0.00565	14.0	19.0	2445.0	0.0	1.0	0.99	0.59	0.65	7.0	7.0	535.0	0.0	1.0	0.99	0.67	0.7	0.0	824	0.0	inf	1.0	1.0	1.0	0.36	0.42	0.504	1.0	1.0	1.0	0.31	0.475	0.604	0.59
PCI00C80	KL111	hq	PC0522	lasso	inf	6.91	1.0	0.36	1.0	0.43	12	33	0.00484	12.0	21.0	2445.0	0.0	1.0	0.99	0.53	0.6	6.0	8.0	535.0	0.0	1.0	0.99	0.6	0.65	0.0	998	0.0	inf	1.0	1.0	1.0	0.238	0.36	0.451	1.0	1.0	1.0	0.298	0.38	0.453	0.53
PCI50C50	KL111	hq	PC0572	lasso	inf	4.14	1.0	0.42	1.0	0.5	14	33	0.00565	14.0	19.0	2445.0	0.0	1.0	0.99	0.59	0.65	7.0	7.0	535.0	0.0	1.0	0.99	0.67	0.7	0.0	1191	0.0	inf	1.0	1.0	1.0	0.32	0.415	0.532	1.0	1.0	1.0	0.329	0.45	0.581	0.59
PCI50C80	KL111	hq	PC0575	lasso	inf	4.71	1.0	0.42	1.0	0.5	14	33	0.00565	14.0	19.0	2445.0	0.0	1.0	0.99	0.59	0.65	7.0	7.0	535.0	0.0	1.0	0.99	0.67	0.7	0.0	1289	0.0	inf	1.0	1.0	1.0	0.33	0.44	0.501	1.0	1.0	1.0	0.399	0.5	0.6	0.59
PCI80C50	KL111	hq	PC0692	lasso	inf	3.9	1.0	0.42	1.0	0.5	14	33	0.00565	14.0	19.0	2445.0	0.0	1.0	0.99	0.59	0.65	7.0	7.0	535.0	0.0	1.0	0.99	0.67	0.7	0.0	1543	0.0	inf	1.0	1.0	1.0	0.33	0.41	0.502	1.0	1.0	1.0	0.378	0.5	0.562	0.59
PCI80C80	KL111	hq	PC0696	lasso	inf	4.54	1.0	0.42	1.0	0.5	14	33	0.00565	14.0	19.0	2445.0	0.0	1.0	0.99	0.59	0.65	7.0	7.0	535.0	0.0	1.0	0.99	0.67	0.7	0.0	1587	0.0	inf	1.0	1.0	1.0	0.376	0.41	0.502	1.0	1.0	1.0	0.378	0.5	0.58	0.59
PCI00C50	KL122	hq	PC0343	lasso			0.23	0.25	0.13	0.18	22	20	0.00888	5.0	15.0	2441.0	17.0	0.99	0.99	0.24	0.23	2.0	9.0	525.0	13.0	0.98	0.96	0.15	0.14		824			0.09	0.25	0.33	0.099	0.28	0.31	0.1	0.18	0.203	0.119	0.22	0.254	0.24
PCI00C80	KL122	hq	PC0523	lasso			0.33	0.2	0.11	0.09	12	20	0.00484	4.0	16.0	2450.0	8.0	1.0	0.99	0.25	0.25	1.0	10.0	530.0	8.0	0.99	0.97	0.1	0.08		998			0.19	0.33	0.505	0.076	0.195	0.254	0.114	0.17	0.254	0.086	0.11	0.14	0.25
PCI50C50	KL122	hq	PC0967	lasso			1.0	0.25	1.0	0.18	5	20	0.00202	5.0	15.0	2458.0	0.0	1.0	0.99	0.4	0.5	2.0	9.0	538.0	0.0	1.0	0.98	0.31	0.42		1191			1.0	1.0	1.0	0.17	0.24	0.382	1.0	1.0	1.0	0.12	0.235	0.292	0.4
PCI50C80	KL122	hq	PC1039	lasso			1.0	0.25	1.0	0.18	5	20	0.00202	5.0	15.0	2458.0	0.0	1.0	0.99	0.4	0.5	2.0	9.0	538.0	0.0	1.0	0.98	0.31	0.42		1289			1.0	1.0	1.0	0.09	0.26	0.361	1.0	1.0	1.0	0.11	0.22	0.334	0.4
PCI80C50	KL122	hq	PC0305	lasso	inf	10.4	0.29	0.7	0.56	0.91	49	20	0.0198	14.0	6.0	2423.0	35.0	0.99	0.98	0.41	0.44	10.0	1.0	530.0	8.0	0.99	0.98	0.69	0.7	0.0	1543	0.0	inf	0.24	0.3	0.372	0.62	0.73	0.831	0.43	0.53	0.67	0.852	0.895	1.0	0.41
PCI80C80	KL122	hq	PC0305	lasso	inf	5.69	0.29	0.7	0.56	0.91	49	20	0.0198	14.0	6.0	2423.0	35.0	0.99	0.98	0.41	0.44	10.0	1.0	530.0	8.0	0.99	0.98	0.69	0.7	0.0	1587	0.0	inf	0.248	0.3	0.37	0.638	0.72	0.795	0.468	0.535	0.62	0.778	0.89	1.0	0.41
PCI00C50	KL125	hq	PC0224	lasso	inf	5.4	0.58	0.9	0.52	0.93	33	21	0.0133	19.0	2.0	2443.0	14.0	0.99	0.99	0.71	0.72	13.0	1.0	523.0	12.0	0.98	0.98	0.67	0.69	0.0	824	0.0	inf	0.5	0.555	0.65	0.848	0.915	1.0	0.438	0.53	0.622	0.879	0.91	1.0	0.71
PCI00C80	KL125	hq	PC0255	lasso	inf	11.9	0.6	0.86	0.55	0.86	30	21	0.0121	18.0	3.0	2445.0	12.0	1.0	0.99	0.71	0.71	12.0	2.0	525.0	10.0	0.98	0.98	0.67	0.67	0.0	998	0.0	inf	0.528	0.585	0.681	0.769	0.85	0.883	0.527	0.57	0.644	0.78	0.82	0.901	0.71
PCI50C50	KL125	hq	PC0295	lasso	inf	5.3	0.61	0.9	0.57	0.93	31	21	0.0125	19.0	2.0	2445.0	12.0	1.0	0.99	0.73	0.74	13.0	1.0	525.0	10.0	0.98	0.98	0.71	0.72	0.0	1191	0.0	inf	0.518	0.62	0.699	0.866	0.92	1.0	0.465	0.575	0.629	0.879	0.9	1.0	0.73
PCI50C80	KL125	hq	PC0296	lasso	inf	5.23	0.6	0.86	0.55	0.86	30	21	0.0121	18.0	3.0	2445.0	12.0	1.0	0.99	0.71	0.71	12.0	2.0	525.0	10.0	0.98	0.98	0.67	0.67	0.0	1289	0.0	inf	0.468	0.565	0.63	0.748	0.84	0.934	0.417	0.525	0.6	0.746	0.825	0.924	0.71
PCI80C50	KL125	hq	PC0499	lasso	inf	5.98	0.71	0.71	0.67	0.71	21	21	0.00847	15.0	6.0	2451.0	6.0	1.0	1.0	0.71	0.71	10.0	4.0	530.0	5.0	0.99	0.98	0.69	0.68	0.0	1543	0.0	inf	0.599	0.72	0.8	0.545	0.72	0.863	0.557	0.67	0.772	0.56	0.69	0.861	0.71
PCI80C80	KL125	hq	PC0490	lasso	inf	6.36	0.71	0.71	0.67	0.71	21	21	0.00847	15.0	6.0	2451.0	6.0	1.0	1.0	0.71	0.71	10.0	4.0	530.0	5.0	0.99	0.98	0.69	0.68	0.0	1587	0.0	inf	0.497	0.69	0.773	0.566	0.71	0.792	0.497	0.655	0.752	0.566	0.7	0.801	0.71
PCI00C50	KL127	hq	PC0306	lasso	inf	3.06	0.21	0.23	0.38	0.3	29	26	0.0117	6.0	20.0	2429.0	23.0	0.99	0.98	0.22	0.21	3.0	7.0	535.0	5.0	0.99	0.98	0.34	0.32	0.0	824	0.0	inf	0.148	0.23	0.311	0.13	0.25	0.33	0.29	0.39	0.434	0.215	0.33	0.434	0.22
PCI00C80	KL127	hq	PC0716	lasso	inf	9.23	0.71	0.19	1.0	0.2	7	26	0.00282	5.0	21.0	2450.0	2.0	1.0	0.99	0.3	0.37	2.0	8.0	539.0	0.0	1.0	0.99	0.33	0.44	0.0	998	0.0	inf	0.5	0.67	1.0	0.108	0.19	0.271	1.0	1.0	1.0	0.168	0.22	0.292	0.3
PCI50C50	KL127	hq	PC0391	lasso	inf	6.97	0.33	0.35	0.4	0.6	27	26	0.0109	9.0	17.0	2434.0	18.0	0.99	0.99	0.34	0.33	6.0	4.0	530.0	9.0	0.98	0.98	0.48	0.48	0.0	1191	0.0	inf	0.268	0.33	0.402	0.25	0.36	0.464	0.269	0.42	0.504	0.428	0.56	0.67	0.34
PCI50C80	KL127	hq	PC0810	lasso	inf	16.3	0.71	0.19	1.0	0.2	7	26	0.00282	5.0	21.0	2450.0	2.0	1.0	0.99	0.3	0.37	2.0	8.0	539.0	0.0	1.0	0.99	0.33	0.44	0.0	1289	0.0	inf	0.5	0.73	1.0	0.11	0.18	0.252	1.0	1.0	1.0	0.11	0.21	0.252	0.3
PCI80C50	KL127	hq	PC0546	lasso	inf	13.2	0.5	0.35	0.75	0.6	18	26	0.00726	9.0	17.0	2443.0	9.0	1.0	0.99	0.41	0.41	6.0	4.0	537.0	2.0	1.0	0.99	0.67	0.67	0.0	1543	0.0	inf	0.418	0.485	0.643	0.27	0.33	0.442	0.6	0.8	1.0	0.428	0.535	0.716	0.41
PCI80C80	KL127	hq	PC1000	lasso	inf	19.2	0.71	0.19	1.0	0.2	7	26	0.00282	5.0	21.0	2450.0	2.0	1.0	0.99	0.3	0.37	2.0	8.0	539.0	0.0	1.0	0.99	0.33	0.44	0.0	1587	0.0	inf	0.5	0.67	1.0	0.118	0.21	0.291	0.975	1.0	1.0	0.139	0.22	0.33	0.3
PCI00C50	KL13	hq	PC0181	lasso	inf	6.68	0.21	0.65	0.5	0.67	71	23	0.0287	15.0	8.0	2399.0	56.0	0.98	0.97	0.32	0.36	12.0	6.0	519.0	12.0	0.98	0.97	0.57	0.56	0.0	824	0.0	inf	0.159	0.195	0.26	0.54	0.64	0.71	0.38	0.455	0.56	0.55	0.64	0.711	0.32
PCI00C80	KL13	hq	PC0188	lasso	inf	7.84	0.22	0.65	0.52	0.67	68	23	0.0274	15.0	8.0	2402.0	53.0	0.98	0.98	0.33	0.37	12.0	6.0	520.0	11.0	0.98	0.97	0.59	0.57	0.0	998	0.0	inf	0.158	0.21	0.29	0.538	0.64	0.772	0.378	0.47	0.6	0.55	0.645	0.802	0.33
PCI50C50	KL13	hq	PC0196	lasso	inf	7.46	0.21	0.65	0.5	0.67	71	23	0.0287	15.0	8.0	2399.0	56.0	0.98	0.97	0.32	0.36	12.0	6.0	519.0	12.0	0.98	0.97	0.57	0.56	0.0	1191	0.0	inf	0.18	0.22	0.26	0.588	0.67	0.792	0.42	0.475	0.533	0.578	0.695	0.781	0.32
PCI50C80	KL13	hq	PC0201	lasso	inf	7.35	0.22	0.65	0.52	0.67	68	23	0.0274	15.0	8.0	2402.0	53.0	0.98	0.98	0.33	0.37	12.0	6.0	520.0	11.0	0.98	0.97	0.59	0.57	0.0	1289	0.0	inf	0.167	0.22	0.29	0.564	0.64	0.691	0.383	0.47	0.561	0.573	0.64	0.751	0.33
PCI80C50	KL13	hq	PC0212	lasso	inf	8.01	0.21	0.65	0.5	0.67	70	23	0.0282	15.0	8.0	2400.0	55.0	0.98	0.97	0.32	0.36	12.0	6.0	519.0	12.0	0.98	0.97	0.57	0.56	0.0	1543	0.0	inf	0.12	0.205	0.273	0.457	0.64	0.793	0.329	0.445	0.613	0.459	0.67	0.734	0.32
PCI80C80	KL13	hq	PC0217	lasso	inf	8.25	0.22	0.65	0.52	0.67	68	23	0.0274	15.0	8.0	2402.0	53.0	0.98	0.98	0.33	0.37	12.0	6.0	520.0	11.0	0.98	0.97	0.59	0.57	0.0	1587	0.0	inf	0.16	0.235	0.3	0.566	0.67	0.79	0.436	0.515	0.58	0.536	0.69	0.773	0.33
PCI00C50	KL14	hq	PC0418	lasso	inf	3.93	0.53	0.24	0.5	0.45	15	33	0.00605	8.0	25.0	2438.0	7.0	1.0	0.99	0.33	0.35	5.0	6.0	533.0	5.0	0.99	0.98	0.47	0.47	0.0	824	0.0	inf	0.396	0.545	0.714	0.15	0.215	0.322	0.423	0.5	0.753	0.298	0.47	0.629	0.33
PCI00C80	KL14	hq	PC0301	lasso	inf	5.98	0.66	0.58	0.62	0.73	29	33	0.0117	19.0	14.0	2435.0	10.0	1.0	0.99	0.62	0.61	8.0	3.0	533.0	5.0	0.99	0.99	0.67	0.66	0.0	998	0.0	inf	0.528	0.67	0.752	0.466	0.58	0.712	0.56	0.67	0.781	0.665	0.8	1.0	0.62
PCI50C50	KL14	hq	PC0371	lasso	inf	6.71	0.83	0.61	0.67	0.73	24	33	0.00969	20.0	13.0	2441.0	4.0	1.0	0.99	0.7	0.71	8.0	3.0	534.0	4.0	0.99	0.99	0.7	0.69	0.0	1191	0.0	inf	0.728	0.8	0.93	0.498	0.63	0.73	0.598	0.7	0.88	0.7	0.78	0.896	0.7
PCI50C80	KL14	hq	PC0346	lasso	inf	2.93	0.66	0.58	0.62	0.73	29	33	0.0117	19.0	14.0	2435.0	10.0	1.0	0.99	0.62	0.61	8.0	3.0	533.0	5.0	0.99	0.99	0.67	0.66	0.0	1289	0.0	inf	0.589	0.67	0.734	0.48	0.57	0.671	0.579	0.655	0.802	0.668	0.75	0.886	0.62
PCI80C50	KL14	hq	PC0379	lasso	inf	3.71	0.67	0.61	0.62	0.73	30	33	0.0121	20.0	13.0	2435.0	10.0	1.0	0.99	0.64	0.63	8.0	3.0	533.0	5.0	0.99	0.99	0.67	0.66	0.0	1543	0.0	inf	0.558	0.67	0.781	0.5	0.585	0.7	0.56	0.655	0.78	0.668	0.765	0.896	0.64
PCI80C80	KL14	hq	PC0427	lasso	inf	4.16	0.82	0.55	0.67	0.73	22	33	0.00888	18.0	15.0	2441.0	4.0	1.0	0.99	0.66	0.66	8.0	3.0	534.0	4.0	0.99	0.99	0.7	0.69	0.0	1587	0.0	inf	0.729	0.83	0.911	0.45	0.53	0.622	0.617	0.74	0.88	0.617	0.78	0.896	0.66
PCI00C50	KL142	hq	PC0223	lasso	inf	3.58	0.15	0.64	0.18	0.6	47	11	0.019	7.0	4.0	2427.0	40.0	0.98	0.98	0.24	0.3	6.0	4.0	511.0	28.0	0.95	0.94	0.28	0.3	0.0	824	0.0	inf	0.088	0.165	0.212	0.425	0.62	0.832	0.116	0.185	0.232	0.425	0.62	0.803	0.24
PCI00C80	KL142	hq	PC0336	lasso	inf	4.13	0.28	0.64	0.35	0.6	25	11	0.0101	7.0	4.0	2449.0	18.0	0.99	0.99	0.39	0.42	6.0	4.0	528.0	11.0	0.98	0.97	0.44	0.45	0.0	998	0.0	inf	0.188	0.33	0.402	0.562	0.655	0.712	0.228	0.38	0.443	0.495	0.6	0.71	0.39
PCI50C50	KL142	hq	PC0497	lasso	inf	4.77	0.37	0.64	0.5	0.6	19	11	0.00767	7.0	4.0	2455.0	12.0	1.0	0.99	0.47	0.48	6.0	4.0	533.0	6.0	0.99	0.98	0.55	0.54	0.0	1191	0.0	inf	0.198	0.38	0.563	0.495	0.62	0.756	0.328	0.5	0.601	0.495	0.585	0.716	0.47
PCI50C80	KL142	hq	PC0497	lasso	inf	4.77	0.37	0.64	0.5	0.6	19	11	0.00767	7.0	4.0	2455.0	12.0	1.0	0.99	0.47	0.48	6.0	4.0	533.0	6.0	0.99	0.98	0.55	0.54	0.0	1289	0.0	inf	0.289	0.4	0.5	0.496	0.705	0.861	0.399	0.5	0.572	0.496	0.67	0.86	0.47
PCI80C50	KL142	hq	PC0596	lasso	inf	4.58	0.33	0.55	0.45	0.5	18	11	0.00726	6.0	5.0	2455.0	12.0	1.0	0.99	0.41	0.42	5.0	5.0	533.0	6.0	0.99	0.98	0.47	0.47	0.0	1543	0.0	inf	0.198	0.34	0.462	0.33	0.525	0.75	0.288	0.445	0.62	0.33	0.5	0.75	0.41
PCI80C80	KL142	hq	PC0598	lasso	inf	4.6	0.33	0.55	0.45	0.5	18	11	0.00726	6.0	5.0	2455.0	12.0	1.0	0.99	0.41	0.42	5.0	5.0	533.0	6.0	0.99	0.98	0.47	0.47	0.0	1587	0.0	inf	0.198	0.32	0.424	0.328	0.53	0.67	0.29	0.38	0.503	0.29	0.5	0.622	0.41
PCI00C50	KL15	hq	PC0693	lasso	inf	2.15	1.0	0.15	1.0	0.45	5	34	0.00202	5.0	29.0	2444.0	0.0	1.0	0.99	0.26	0.38	5.0	6.0	538.0	0.0	1.0	0.99	0.62	0.67	0.0	824	0.0	inf	1.0	1.0	1.0	0.06	0.19	0.24	1.0	1.0	1.0	0.14	0.44	0.62	0.26
PCI00C80	KL15	hq	PC0911	lasso			1.0	0.12	1.0	0.36	4	34	0.00161	4.0	30.0	2444.0	0.0	1.0	0.99	0.21	0.34	4.0	7.0	538.0	0.0	1.0	0.99	0.53	0.6		998			1.0	1.0	1.0	0.05	0.095	0.18	1.0	1.0	1.0	0.109	0.25	0.504	0.21
PCI50C50	KL15	hq	PC0532	lasso	inf	6.83	0.77	0.29	1.0	0.27	13	34	0.00525	10.0	24.0	2441.0	3.0	1.0	0.99	0.42	0.47	3.0	8.0	538.0	0.0	1.0	0.99	0.43	0.52	0.0	1191	0.0	inf	0.598	0.79	1.0	0.179	0.31	0.41	1.0	1.0	1.0	0.198	0.315	0.383	0.42
PCI50C80	KL15	hq	PC0531	lasso	inf	6.54	0.77	0.29	1.0	0.27	13	34	0.00525	10.0	24.0	2441.0	3.0	1.0	0.99	0.42	0.47	3.0	8.0	538.0	0.0	1.0	0.99	0.43	0.52	0.0	1289	0.0	inf	0.57	0.765	0.881	0.2	0.29	0.382	1.0	1.0	1.0	0.197	0.29	0.43	0.42
PCI80C50	KL15	hq	PC0628	lasso	inf	7.07	0.77	0.29	1.0	0.27	13	34	0.00525	10.0	24.0	2441.0	3.0	1.0	0.99	0.42	0.47	3.0	8.0	538.0	0.0	1.0	0.99	0.43	0.52	0.0	1543	0.0	inf	0.67	0.79	1.0	0.19	0.31	0.38	1.0	1.0	1.0	0.139	0.28	0.38	0.42
PCI80C80	KL15	hq	PC0641	lasso	inf	5.9	0.77	0.29	1.0	0.27	13	34	0.00525	10.0	24.0	2441.0	3.0	1.0	0.99	0.42	0.47	3.0	8.0	538.0	0.0	1.0	0.99	0.43	0.52	0.0	1587	0.0	inf	0.598	0.75	0.896	0.16	0.285	0.355	1.0	1.0	1.0	0.168	0.29	0.405	0.42
PCI00C50	KL16	hq	PC0670	lasso	inf	5.81	1.0	0.18	1.0	0.27	4	22	0.00161	4.0	18.0	2456.0	0.0	1.0	0.99	0.31	0.42	3.0	8.0	538.0	0.0	1.0	0.99	0.43	0.52	0.0	824	0.0	inf	1.0	1.0	1.0	0.109	0.2	0.301	1.0	1.0	1.0	0.136	0.25	0.43	0.31
PCI00C80	KL16	hq	PC0254	lasso	inf	2.53	0.29	0.45	0.32	0.64	35	22	0.0141	10.0	12.0	2431.0	25.0	0.99	0.99	0.35	0.35	7.0	4.0	523.0	15.0	0.97	0.97	0.43	0.43	0.0	998	0.0	inf	0.16	0.26	0.402	0.248	0.4	0.536	0.226	0.29	0.411	0.425	0.61	0.71	0.35
PCI50C50	KL16	hq	PC0766	lasso	inf	6.37	1.0	0.23	1.0	0.36	5	22	0.00202	5.0	17.0	2456.0	0.0	1.0	0.99	0.37	0.48	4.0	7.0	538.0	0.0	1.0	0.99	0.53	0.6	0.0	1191	0.0	inf	1.0	1.0	1.0	0.12	0.21	0.381	1.0	1.0	1.0	0.2	0.345	0.443	0.37
