MGG_K_locus,completeness,total_SCs,KASPAH_REF_SCs,other_SCs
KL62,100,14,1,13
KL62,100,14,1,13
KL62,57.43,14,1,13
KL62,100,14,1,13
KL62,79.81,14,1,13
KL62,100,14,1,13
KL62,100,14,1,13
KL62,100,14,1,13
KL62,91.4,14,1,13
KL62,90.25,14,1,13
KL62,81.78,14,1,13
KL62,100,14,1,13
KL62,100,14,1,13
KL62,100,14,1,13
KL62,100,14,1,13
KL62,100,14,1,13
KL62,100,14,1,13
KL62,90.25,14,1,13
KL62,89.48,14,1,13
KL62,89.41,14,1,13
KL62,94.55,14,1,13
KL62,94.55,14,1,13
KL62,100,14,1,13
KL62,100,14,1,13
KL62,100,14,1,13
KL62,100,14,1,13
KL62,100,14,1,13
KL62,100,14,1,13
KL62,100,14,1,13
KL62,100,14,1,13
KL62,100,14,1,13
KL62,91.4,14,1,13
KL62,91.4,14,1,13
KL62,91.4,14,1,13
KL62,72.44,14,1,13
KL62,100,14,1,13
KL62,100,14,1,13
KL62,100,14,1,13
KL62,100,14,1,13
KL62,100,14,1,13
KL62,90.25,14,1,13
KL62,90.25,14,1,13
KL62,100,14,1,13
KL62,65.34,14,1,13
KL62,100,14,1,13
KL62,100,14,1,13
KL62,82.64,14,1,13
KL62,100,14,1,13
KL62,100,14,1,13
KL62,100,14,1,13
KL62,100,14,1,13
KL62,70.49,14,1,13
KL62,69.3,14,1,13
KL62,67.62,14,1,13
KL62,62.87,14,1,13
KL62,93.64,14,1,13
KL62,100,14,1,13
KL62,100,14,1,13
KL62,100,14,1,13
KL62,100,14,1,13
KL62,100,14,1,13
KL62,100,14,1,13
KL62,100,14,1,13
KL62,100,14,1,13
KL62,100,14,1,13
KL62,100,14,1,13
KL62,100,14,1,13
KL62,95.13,14,1,13
KL62,93.86,14,1,13
KL62,91.4,14,1,13
KL62,86.03,14,1,13
KL62,67.41,14,1,13
KL62,65.58,14,1,13
KL62,100,14,1,13
KL62,97.59,14,1,13
KL62,87.45,14,1,13
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,86.35,18,3,15
KL64,81.89,18,3,15
KL64,70.84,18,3,15
KL64,70.83,18,3,15
KL64,69.58,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,87.48,18,3,15
KL64,100,18,3,15
KL64,68.2,18,3,15
KL64,66.79,18,3,15
KL64,64.75,18,3,15
KL64,64.02,18,3,15
KL64,57.99,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,96.52,18,3,15
KL64,93.73,18,3,15
KL64,91.53,18,3,15
KL64,100,18,3,15
KL64,80.51,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,92.44,18,3,15
KL64,65.33,18,3,15
KL64,65.11,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,63.61,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,90.06,18,3,15
KL64,84.77,18,3,15
KL64,68.19,18,3,15
KL64,58.9,18,3,15
KL64,58.44,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,97.51,18,3,15
KL64,79.18,18,3,15
KL64,68.46,18,3,15
KL64,80.51,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,74.94,18,3,15
KL64,55.28,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,70.83,18,3,15
KL64,59.03,18,3,15
KL64,52.4,18,3,15
KL64,73.5,18,3,15
KL64,73.5,18,3,15
KL64,100,18,3,15
KL64,94.55,18,3,15
KL64,84.63,18,3,15
KL64,54.69,18,3,15
KL64,100,18,3,15
KL64,67.28,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,85.55,18,3,15
KL64,70.84,18,3,15
KL64,68.49,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,80.01,18,3,15
KL64,100,18,3,15
KL64,95.82,18,3,15
KL64,68.38,18,3,15
KL64,61.35,18,3,15
KL64,56.07,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
KL64,100,18,3,15
