MGG_K_locus,category,count,type,source
KL128,no.pv.other,20,PVs,Other
KL13,no.pv.other,51,PVs,Other
KL130,no.pv.other,4,PVs,Other
KL131,no.pv.other,5,PVs,Other
KL132,no.pv.other,17,PVs,Other
KL133,no.pv.other,24,PVs,Other
KL134,no.pv.other,26,PVs,Other
KL135,no.pv.other,6,PVs,Other
KL136,no.pv.other,24,PVs,Other
KL137,no.pv.other,7,PVs,Other
KL138,no.pv.other,0,PVs,Other
KL139,no.pv.other,21,PVs,Other
KL14,no.pv.other,92,PVs,Other
KL140,no.pv.other,26,PVs,Other
KL141,no.pv.other,8,PVs,Other
KL142,no.pv.other,27,PVs,Other
KL143,no.pv.other,9,PVs,Other
KL144,no.pv.other,8,PVs,Other
KL145,no.pv.other,4,PVs,Other
KL146,no.pv.other,13,PVs,Other
KL147,no.pv.other,23,PVs,Other
KL148,no.pv.other,8,PVs,Other
KL149,no.pv.other,17,PVs,Other
KL15,no.pv.other,50,PVs,Other
KL151,no.pv.other,29,PVs,Other
KL153,no.pv.other,14,PVs,Other
KL155,no.pv.other,11,PVs,Other
KL157,no.pv.other,2,PVs,Other
KL158,no.pv.other,23,PVs,Other
KL16,no.pv.other,53,PVs,Other
KL162,no.pv.other,7,PVs,Other
KL164,no.pv.other,3,PVs,Other
KL165,no.pv.other,1,PVs,Other
KL166,no.pv.other,4,PVs,Other
KL167,no.pv.other,38,PVs,Other
KL168,no.pv.other,2,PVs,Other
KL169,no.pv.other,2,PVs,Other
KL17,no.pv.other,31,PVs,Other
KL170,no.pv.other,5,PVs,Other
KL172,no.pv.other,3,PVs,Other
KL173,no.pv.other,1,PVs,Other
KL174,no.pv.other,8,PVs,Other
KL176,no.pv.other,5,PVs,Other
KL178,no.pv.other,4,PVs,Other
KL18,no.pv.other,10,PVs,Other
KL183,no.pv.other,13,PVs,Other
KL19,no.pv.other,18,PVs,Other
KL2,no.pv.other,50,PVs,Other
KL20,no.pv.other,36,PVs,Other
KL21,no.pv.other,44,PVs,Other
KL22,no.pv.other,72,PVs,Other
KL23,no.pv.other,60,PVs,Other
KL24,no.pv.other,96,PVs,Other
KL25,no.pv.other,51,PVs,Other
KL27,no.pv.other,87,PVs,Other
KL28,no.pv.other,59,PVs,Other
KL3,no.pv.other,84,PVs,Other
KL30,no.pv.other,108,PVs,Other
KL31,no.pv.other,30,PVs,Other
KL34,no.pv.other,21,PVs,Other
KL35,no.pv.other,51,PVs,Other
KL36,no.pv.other,21,PVs,Other
KL38,no.pv.other,63,PVs,Other
KL39,no.pv.other,50,PVs,Other
KL4,no.pv.other,0,PVs,Other
KL42,no.pv.other,36,PVs,Other
KL43,no.pv.other,16,PVs,Other
KL45,no.pv.other,17,PVs,Other
KL46,no.pv.other,35,PVs,Other
KL47,no.pv.other,27,PVs,Other
KL48,no.pv.other,42,PVs,Other
KL49,no.pv.other,25,PVs,Other
KL5,no.pv.other,21,PVs,Other
KL51,no.pv.other,37,PVs,Other
KL52,no.pv.other,17,PVs,Other
KL53,no.pv.other,35,PVs,Other
KL54,no.pv.other,73,PVs,Other
KL55,no.pv.other,56,PVs,Other
KL56,no.pv.other,12,PVs,Other
KL57,no.pv.other,32,PVs,Other
KL58,no.pv.other,42,PVs,Other
KL6,no.pv.other,53,PVs,Other
